"","ttext","score","date","isretweet","retweetcount","favoritecount","duplicate"
"41","@DhirajRMishra21 No Amazon, big Basket, Star Bazaar dmart is doing home delivery in Miraroad region. Else they are  ","0","2020-05-02 15:23:02","FALSE","0","5",FALSE
"42","Flipkart Amazon Orders Started | Non Essential Items Delivery Started By Ecommerce | LockDown 3.0  ","0","2020-05-02 10:22:06","FALSE","0","3",FALSE
"43","Can't we place orders for ""non-essential"" items now and you start the delivery activities from 4th May ? @Flipkart @flipkartsupport @amazon","0","2020-05-02 10:09:02","FALSE","0","1",FALSE
"44","I want to express that I called blue dart for a pending delivery Of Amazon in the hope theyre starting after May4  ","0","2020-05-02 09:44:01","FALSE","0","3",FALSE
"45","RT @Shilparanipeta: Amazon urges govt to allow delivery of non-essentials in red zones as well  ","1","2020-05-02 08:46:50","TRUE","1","0",FALSE
"46","RT @aryan_thakkar18: @mihirkotecha @Dev_Fadnavis @ChaiMIRROR @richapintoTOI @BJP4Maharashtra @MNCDFbombay @singhvarun @htTweets @rajtoday @","0","2020-05-02 08:23:53","TRUE","1","0",FALSE
"47","@mihirkotecha @Dev_Fadnavis @ChaiMIRROR @richapintoTOI @BJP4Maharashtra @MNCDFbombay @singhvarun @htTweets  ","0","2020-05-02 08:14:56","FALSE","1","1",FALSE
"48","Amazon urges govt to allow delivery of non-essentials in red zones as well  ","1","2020-05-02 07:37:44","FALSE","1","1",FALSE
"49","@DKNair4 @subhendujee @sagarikaghose As per guidelines non-essential delivery allowed in orange and green zone. I a  ","0","2020-05-02 07:06:14","FALSE","0","0",FALSE
"50","@vikasjain1988 @iWagholi @Grofers Hi Vikas . Is big basket taking orders for 412207? Because I haven't been able to  ","0","2020-05-02 04:37:12","FALSE","0","1",FALSE
"51","lockdown 3 restrictions: Amazon-Flipkart delivery starting on this condition, will be able to buy phone-laptop  am  ","0","2020-05-02 03:59:36","FALSE","0","0",FALSE
"52","Why isn't delivery of books considered necessary? If amazon, flipkart etc can deliver their products then why our f  ","0","2020-05-01 23:03:40","FALSE","1","1",FALSE
"53","Breaking News !!! Flipkart Amazon Delivery Starting From 4th May | Ecommerce Delivery Open   ","-1","2020-05-01 16:53:45","FALSE","0","3",FALSE
"54","RT @MorisonsBaby: SmartMums our range of babycare products are available on various e-commerce platforms like Amazon, FirstCry, Flipkart &amp;","2","2020-05-01 16:22:01","TRUE","2","0",FALSE
