"","ttext","score","date","isretweet","retweetcount","favoritecount","duplicate"
"1","@narendramodi kindly pass an order to deliver liquor item via 
@Zomato 
@swiggy_in 
@Flipkart 
@amazon
And other on  ","1","2020-05-05 07:32:17","FALSE","1","1",FALSE
"2","RT @SAURABHPAL143: @amazon @AmazonHelp
@amazonIN Is delivery services available at Pincode 230502 ?","1","2020-05-05 06:43:48","TRUE","1","0",FALSE
"3","@amazon @AmazonHelp
@amazonIN Is delivery services available at Pincode 230502 ?","1","2020-05-05 06:43:33","FALSE","1","0",FALSE
"4","@myogiadityanath  @dmhardoi  @AdminLKO @hardoipolice 
Pls allow Mobile dealers to Provide home delivery as big gain  ","1","2020-05-05 03:07:38","FALSE","0","0",FALSE
"5","Dear sir,@ArvindKejriwal 
Yesterday, many people are standing in front of liquor shops due to that huge crowd was g  ","0","2020-05-04 19:30:20","FALSE","0","0",FALSE
"6","RT @kapil_mittal_ag: Amazing work @amazonIN 
Products being updated as delivered without actual delivery
@Amazonticketing @amazon @AmazonHe","2","2020-04-30 16:48:02","TRUE","1","0",FALSE
"7","Amazing work @amazonIN 
Products being updated as delivered without actual delivery
@Amazonticketing @amazon  ","2","2020-04-30 16:22:34","FALSE","1","0",FALSE
