"","ttext","score","date","isretweet","retweetcount","favoritecount","duplicate"
"40","RT @awscloud: Learn how to lower TCO &amp; increase query performance by running Hive on Spark in Amazon EMR:  ","0","2020-05-05 15:07:31","TRUE","6","0",TRUE
"41","Love an Amazon delivery   ","1","2020-05-05 15:05:15","FALSE","0","3",FALSE
"42","@realmecareIN  hi realme am ordered 50 days before realme x2 in @flipkartsupport @Flipkart still I didn't get the d  ","0","2020-05-05 15:03:36","FALSE","0","0",FALSE
"43","RT @GillLindsay10: @AmazonHelp one of my items says delivery attempted, but the DHL tracking code given by the seller does not exist and DH","0","2020-05-05 15:02:52","TRUE","1","0",FALSE
"44","RT @Shade510: My wife does quite a bit of online shopping.

So much so, she included the Amazon delivery guy in the family portrait above t","0","2020-05-05 15:02:37","TRUE","26","0",TRUE
"45","@AmazonHelp one of my items says delivery attempted, but the DHL tracking code given by the seller does not exist a  ","0","2020-05-05 15:02:37","FALSE","1","0",FALSE
"46","@shop offsets delivery emissions by protecting trees in the Amazon rainforest. Shopbetter  ","0","2020-05-05 15:01:18","FALSE","0","0",FALSE
"47","RT @AhnaSGomez: Whoop whoop! Amazon delivery of the day! Cant wait to get started on @casas_jimmy latest book! My ELAR teachers would be s","0","2020-05-05 15:01:08","TRUE","1","0",FALSE
"48","Join @Amazon Prime for $12.99/mo and get free delivery, as fast as today. Fast, free and convenient ways to get mi  ","5","2020-05-05 15:00:43","FALSE","0","0",FALSE
"49","RT @awscloud: Learn how to lower TCO &amp; increase query performance by running Hive on Spark in Amazon EMR:  ","0","2020-05-05 14:59:40","TRUE","6","0",TRUE
"50","@HannahMR1993 Hello Hannah, we're sorry your still waiting for your order. We're happy to help you in any way possi  ","0","2020-05-05 14:59:13","FALSE","0","0",FALSE
"51","@ApeyBee Hi, Rose! We're sorry to hear about this. Can you confirm who the carrier is for this delivery? You can ch  ","-1","2020-05-05 14:58:48","FALSE","0","0",FALSE
"52","@pozzoron @EconTalker I've found, generally, that even the mention of such a discussion i met with ridicule and der  ","-1","2020-05-05 14:58:42","FALSE","0","0",FALSE
"53","@MetalFanInBlack We're very sorry for the delay, Joe. Were temporarily experiencing longer than usual delivery tim  ","-2","2020-05-05 14:57:07","FALSE","0","1",FALSE
"54","@DrHVoffice @drharshvardhan from 7 am to 7 pm is irresponsible. A workaround could be allowing delivery of non esse  ","-1","2020-05-05 14:55:46","FALSE","0","0",FALSE
"55","RT @awscloud: Learn how to lower TCO &amp; increase query performance by running Hive on Spark in Amazon EMR:  ","0","2020-05-05 14:54:57","TRUE","6","0",TRUE
"56","sigh I bought prime today cause my car battery died again and I now need jump leads just in case. wasn't about spen  ","0","2020-05-05 14:53:19","FALSE","0","0",FALSE
"57","RT @Shade510: My wife does quite a bit of online shopping.

So much so, she included the Amazon delivery guy in the family portrait above t","0","2020-05-05 14:53:11","TRUE","26","0",TRUE
"58","@nyillini311 @knightvine ok you're not gonna believe this...but I just finally got an Amazon Fresh delivery time!  ","1","2020-05-05 14:52:58","FALSE","0","2",FALSE
"59","As retail is trying to figure out the new normal Amazon and Shopify are making moves to find new ways for customers  ","0","2020-05-05 14:52:40","FALSE","0","2",FALSE
"60","RT @awscloud: Learn how to lower TCO &amp; increase query performance by running Hive on Spark in Amazon EMR:  ","0","2020-05-05 14:52:14","TRUE","6","0",TRUE
"61","Anker via Amazon. 
 
Anker 7-in-1 USB C Hub, with 4K HDMI, 100W Power Delivery, USB C Data Port, microSD and SD Car  ","0","2020-05-05 14:52:09","FALSE","0","1",FALSE
"62","Liked Love Story, by Erich Segal? then you'll love EVERY FIVE MINUTES ""unique, exceptional, excellently written, pe  ","5","2020-05-05 14:52:00","FALSE","0","0",FALSE
"63","Learn how to lower TCO &amp; increase query performance by running Hive on Spark in Amazon EMR:  ","0","2020-05-05 14:51:58","FALSE","6","13",FALSE
"64","RT @Shade510: My wife does quite a bit of online shopping.

So much so, she included the Amazon delivery guy in the family portrait above t","0","2020-05-05 14:49:07","TRUE","26","0",TRUE
"65","@KolkataPolice The most important and essential item is not allowed till date. Water purifiers &amp; their refill cartr  ","1","2020-05-05 14:48:47","FALSE","0","0",FALSE
"66","Uber looks at pumping Lime full of funds (at steep discount)
Job cuts hit Lyft, Lime, Deliveroo, Careem
France  ","-1","2020-05-05 14:48:38","FALSE","0","2",FALSE
"67","RT @Shade510: My wife does quite a bit of online shopping.

So much so, she included the Amazon delivery guy in the family portrait above t","0","2020-05-05 14:47:51","TRUE","26","0",TRUE
"68","Deals Discounts

Safety Face Shield Transparent Full Face,Anti-Saliva Protective Hat

105  ","2","2020-05-05 14:46:53","FALSE","0","0",FALSE
"69","@JaeneaBarcliff Were temporarily experiencing longer than usual delivery times, please wait three days after your  ","0","2020-05-05 14:46:12","FALSE","0","1",FALSE
"70","That feeling of not being able to shop, go in and get what you want?
To see it on the shelf &amp; take it home &amp; NOT be  ","0","2020-05-05 14:45:02","FALSE","0","0",FALSE
"71","@jeff_in_nola @amazon I'm keeping @amazon Prime for the extra services that come with it. But I'm very disappointed  ","-1","2020-05-05 14:44:36","FALSE","0","0",FALSE
"72","RT @Shade510: My wife does quite a bit of online shopping.

So much so, she included the Amazon delivery guy in the family portrait above t","0","2020-05-05 14:44:36","TRUE","26","0",TRUE
"73","I have many amazon packages coming this week so my sister and I decided to play a game with the delivery drivers. W  ","0","2020-05-05 14:44:33","FALSE","0","2",FALSE
"74","RT @Shade510: My wife does quite a bit of online shopping.

So much so, she included the Amazon delivery guy in the family portrait above t","0","2020-05-05 14:43:52","TRUE","26","0",TRUE
"75","@winternights101 Hello, Emily! Were temporarily experiencing longer than usual delivery times, please wait three d  ","0","2020-05-05 14:43:15","FALSE","0","0",FALSE
"76","Our first delivery from our amazon splurge came  also never letting John pick baby clothes out again lol  ","0","2020-05-05 14:43:07","FALSE","0","2",FALSE
"77","@amazon can u please tell my why your delivery guy just opened my front door and threw my parcel in then ran off???","0","2020-05-05 14:42:04","FALSE","0","0",FALSE
"78","When Amazon delivery is on top of their shit than USPS, UPS, FedEx....","0","2020-05-05 14:41:00","FALSE","0","0",FALSE
"79","RT @Shade510: My wife does quite a bit of online shopping.

So much so, she included the Amazon delivery guy in the family portrait above t","0","2020-05-05 14:40:48","TRUE","26","0",TRUE
"80","@amazon Can i order from uk and get delivery in india .?","0","2020-05-05 14:40:36","FALSE","0","0",FALSE
"81","@oxRebeccaLynnxo Has it been more than three calendar days after the last estimated delivery date? If so, you'll wa  ","0","2020-05-05 14:40:07","FALSE","0","0",FALSE
"82","RT @emahlee: Driver for Amazon delivery station:

""Were next to each other in the truck all day, with virtually no health supplies or prot","0","2020-05-05 14:39:24","TRUE","3","0",FALSE
"83","@PurolatorHelp I sent a DM last week you guys said the buzz was added and your delivery driver did not call nor buz  ","0","2020-05-05 14:37:45","FALSE","0","0",FALSE
"84","RT @Shade510: My wife does quite a bit of online shopping.

So much so, she included the Amazon delivery guy in the family portrait above t","0","2020-05-05 14:37:10","TRUE","26","0",TRUE
"85","RT @Shade510: My wife does quite a bit of online shopping.

So much so, she included the Amazon delivery guy in the family portrait above t","0","2020-05-05 14:36:37","TRUE","26","0",TRUE
"86","surprising.cant see any parents desperately trying tonopen stationery n book shops.nor adding school books to essen  ","-1","2020-05-05 14:36:02","FALSE","0","0",FALSE
"87","Im staying at home. I thank my mail man, my UPS guys, my Amazon guys &amp; my Instacart delivery people. I never see t  ","1","2020-05-05 14:35:50","FALSE","0","0",FALSE
"88","@davemurray68 Thank you, we require anyone who orders age restricted items to be able to provide proof such as a va  ","0","2020-05-05 14:35:44","FALSE","0","0",FALSE
"89","RT @Shade510: My wife does quite a bit of online shopping.

So much so, she included the Amazon delivery guy in the family portrait above t","0","2020-05-05 14:35:23","TRUE","26","0",TRUE
"90","RT @myBurbankNEWS: ALERT: Police are searching the area of Bonita and Glenoaks for an Mercedes Amazon delivery van that was just stolen.","-1","2020-05-05 14:34:51","TRUE","28","0",FALSE
